Iter 6 | Total: 37.9102 | LL: -28.6491 | CE: 9.2610
Iter 7 | Total: 36.9704 | LL: -27.7629 | CE: 9.2075
Iter 8 | Total: 36.1834 | LL: -27.0221 | CE: 9.1613
Iter 9 | Total: 35.4717 | LL: -26.3506 | CE: 9.1211
Iter 10 | Total: 34.8013 | LL: -25.7150 | CE: 9.0864
Iter 11 | Total: 34.1629 | LL: -25.1062 | CE: 9.0567
Iter 12 | Total: 33.5577 | LL: -24.5254 | CE: 9.0323
Iter 13 | Total: 32.9898 | LL: -23.9761 | CE: 9.0136
Iter 14 | Total: 32.4644 | LL: -23.4631 | CE: 9.0013
Iter 15 | Total: 31.9860 | LL: -22.9901 | CE: 8.9960
Iter 16 | Total: 31.5565 | LL: -22.5584 | CE: 8.9982
Iter 17 | Total: 31.1752 | LL: -22.1668 | CE: 9.0085
Iter 18 | Total: 30.8398 | LL: -21.8126 | CE: 9.0271
Iter 19 | Total: 30.5472 | LL: -21.4929 | CE: 9.0544
Iter 20 | Total: 30.2947 | LL: -21.2044 | CE: 9.0903
Iter 21 | Total: 30.0792 | LL: -20.9443 | CE: 9.1349
Iter 22 | Total: 29.8981 | LL: -20.7100 | CE: 9.1882
Iter 23 | Total: 29.7488 | LL: -20.4989 | CE: 9.2499
Iter 24 | Total: 29.6287 | LL: -20.3086 | CE: 9.3201
Iter 25 | Total: 29.5353 | LL: -20.1369 | CE: 9.3984
Iter 26 | Total: 29.4663 | LL: -19.9816 | CE: 9.4847
Iter 27 | Total: 29.4198 | LL: -19.8408 | CE: 9.5790
Iter 28 | Total: 29.3938 | LL: -19.7129 | CE: 9.6810
Iter 29 | Total: 29.3869 | LL: -19.5962 | CE: 9.7907
Iter 0 | Total: 334.3814 | LL: -324.6383 | CE: 9.7432
Iter 1 | Total: 190.4542 | LL: -180.7595 | CE: 9.6946
Iter 2 | Total: 125.6758 | LL: -116.0775 | CE: 9.5983
Iter 3 | Total: 94.5700 | LL: -85.0945 | CE: 9.4755
Iter 4 | Total: 78.7084 | LL: -69.3521 | CE: 9.3563
Iter 5 | Total: 69.9402 | LL: -60.6897 | CE: 9.2504
Iter 6 | Total: 64.5684 | LL: -55.4116 | CE: 9.1569
Iter 7 | Total: 60.8919 | LL: -51.8208 | CE: 9.0711
Iter 8 | Total: 58.1152 | LL: -49.1264 | CE: 8.9888
Iter 9 | Total: 55.8580 | LL: -46.9504 | CE: 8.9075
Iter 10 | Total: 53.9322 | LL: -45.1059 | CE: 8.8263
Iter 11 | Total: 52.2417 | LL: -43.4967 | CE: 8.7450
Iter 12 | Total: 50.7352 | LL: -42.0713 | CE: 8.6639
Iter 13 | Total: 49.3832 | LL: -40.7998 | CE: 8.5833
Iter 14 | Total: 48.1661 | LL: -39.6628 | CE: 8.5033
Iter 15 | Total: 47.0685 | LL: -38.6447 | CE: 8.4238
Iter 16 | Total: 46.0754 | LL: -37.7308 | CE: 8.3447
Iter 17 | Total: 45.1726 | LL: -36.9070 | CE: 8.2656
Iter 18 | Total: 44.3464 | LL: -36.1600 | CE: 8.1864
Iter 19 | Total: 43.5847 | LL: -35.4778 | CE: 8.1069
Iter 20 | Total: 42.8774 | LL: -34.8506 | CE: 8.0269
Iter 21 | Total: 42.2169 | LL: -34.2707 | CE: 7.9462
Iter 22 | Total: 41.5973 | LL: -33.7323 | CE: 7.8650
Iter 23 | Total: 41.0141 | LL: -33.2309 | CE: 7.7832
Iter 24 | Total: 40.4637 | LL: -32.7628 | CE: 7.7010
Iter 25 | Total: 39.9434 | LL: -32.3250 | CE: 7.6183
Iter 26 | Total: 39.4506 | LL: -31.9150 | CE: 7.5355
Iter 27 | Total: 38.9833 | LL: -31.5306 | CE: 7.4527
Iter 28 | Total: 38.5398 | LL: -31.1699 | CE: 7.3699
Iter 29 | Total: 38.1186 | LL: -30.8311 | CE: 7.2875
Iter 0 | Total: 124.3036 | LL: -114.3813 | CE: 9.9223
Iter 1 | Total: 77.8474 | LL: -67.9752 | CE: 9.8722
Iter 2 | Total: 57.8586 | LL: -48.0868 | CE: 9.7718
Iter 3 | Total: 48.7379 | LL: -39.0690 | CE: 9.6690
Iter 4 | Total: 44.2078 | LL: -34.6304 | CE: 9.5774
Iter 5 | Total: 41.6826 | LL: -32.1841 | CE: 9.4985
Iter 6 | Total: 40.0665 | LL: -30.6369 | CE: 9.4296
Iter 7 | Total: 38.8740 | LL: -29.5065 | CE: 9.3675
Iter 8 | Total: 37.8787 | LL: -28.5692 | CE: 9.3095
Iter 9 | Total: 36.9732 | LL: -27.7195 | CE: 9.2537
Iter 10 | Total: 36.1156 | LL: -26.9166 | CE: 9.1990
Iter 11 | Total: 35.3021 | LL: -26.1570 | CE: 9.1451
Iter 12 | Total: 34.5408 | LL: -25.4484 | CE: 9.0923
Iter 13 | Total: 33.8366 | LL: -24.7955 | CE: 9.0410
Iter 14 | Total: 33.1906 | LL: -24.1985 | CE: 8.9921
Iter 15 | Total: 32.6012 | LL: -23.6550 | CE: 8.9463
Iter 16 | Total: 32.0659 | LL: -23.1614 | CE: 8.9044
Iter 17 | Total: 31.5815 | LL: -22.7141 | CE: 8.8674
Iter 18 | Total: 31.1451 | LL: -22.3093 | CE: 8.8358
Iter 19 | Total: 30.7534 | LL: -21.9433 | CE: 8.8101
Iter 20 | Total: 30.4031 | LL: -21.6124 | CE: 8.7907
Iter 21 | Total: 30.0911 | LL: -21.3131 | CE: 8.7779
Iter 22 | Total: 29.8141 | LL: -21.0421 | CE: 8.7720
Iter 23 | Total: 29.5693 | LL: -20.7964 | CE: 8.7728
Iter 24 | Total: 29.3538 | LL: -20.5732 | CE: 8.7806
Iter 25 | Total: 29.1653 | LL: -20.3701 | CE: 8.7952
Iter 26 | Total: 29.0013 | LL: -20.1847 | CE: 8.8166
Iter 27 | Total: 28.8599 | LL: -20.0152 | CE: 8.8446
Iter 28 | Total: 28.7390 | LL: -19.8597 | CE: 8.8792
Iter 29 | Total: 28.6370 | LL: -19.7168 | CE: 8.9202
Iter 0 | Total: 76.8837 | LL: -66.9132 | CE: 9.9705
Iter 1 | Total: 55.6131 | LL: -45.6712 | CE: 9.9419
Iter 2 | Total: 46.5173 | LL: -36.6427 | CE: 9.8746
Iter 3 | Total: 42.1620 | LL: -32.3771 | CE: 9.7849
Iter 4 | Total: 39.8122 | LL: -30.1184 | CE: 9.6938
Iter 5 | Total: 38.3467 | LL: -28.7378 | CE: 9.6089
Iter 6 | Total: 37.2901 | LL: -27.7592 | CE: 9.5309
Iter 7 | Total: 36.4340 | LL: -26.9748 | CE: 9.4592
Iter 8 | Total: 35.6836 | LL: -26.2899 | CE: 9.3936
Iter 9 | Total: 34.9944 | LL: -25.6597 | CE: 9.3347
Iter 10 | Total: 34.3475 | LL: -25.0643 | CE: 9.2831
Iter 11 | Total: 33.7407 | LL: -24.5004 | CE: 9.2402
Iter 12 | Total: 33.1807 | LL: -23.9737 | CE: 9.2070
Iter 13 | Total: 32.6746 | LL: -23.4901 | CE: 9.1845
Iter 14 | Total: 32.2254 | LL: -23.0519 | CE: 9.1734
Iter 15 | Total: 31.8328 | LL: -22.6586 | CE: 9.1742
Iter 16 | Total: 31.4943 | LL: -22.3073 | CE: 9.1871
Iter 17 | Total: 31.2061 | LL: -21.9942 | CE: 9.2119
Iter 18 | Total: 30.9636 | LL: -21.7147 | CE: 9.2488
Iter 19 | Total: 30.7624 | LL: -21.4648 | CE: 9.2976
Iter 20 | Total: 30.5987 | LL: -21.2406 | CE: 9.3581
Iter 21 | Total: 30.4694 | LL: -21.0393 | CE: 9.4302
Iter 22 | Total: 30.3718 | LL: -20.8583 | CE: 9.5135
Iter 23 | Total: 30.3036 | LL: -20.6955 | CE: 9.6081
Iter 24 | Total: 30.2626 | LL: -20.5489 | CE: 9.7137
Iter 25 | Total: 30.2470 | LL: -20.4169 | CE: 9.8301
Iter 26 | Total: 30.2553 | LL: -20.2979 | CE: 9.9574
Iter 27 | Total: 30.2860 | LL: -20.1905 | CE: 10.0955
Iter 28 | Total: 30.3378 | LL: -20.0933 | CE: 10.2444
Iter 29 | Total: 30.4096 | LL: -20.0054 | CE: 10.4042
Iter 0 | Total: 151.6857 | LL: -141.7258 | CE: 9.9599
Iter 1 | Total: 90.7187 | LL: -80.8154 | CE: 9.9034
