Iter 29 | Total: 29.9962 | LL: -22.9613 | CE: 7.0349
Iter 0 | Total: 90.8385 | LL: -81.8130 | CE: 9.0256
Iter 1 | Total: 68.8904 | LL: -60.0078 | CE: 8.8826
Iter 2 | Total: 57.2998 | LL: -48.6623 | CE: 8.6376
Iter 3 | Total: 51.0181 | LL: -42.5975 | CE: 8.4206
Iter 4 | Total: 47.1087 | LL: -38.8784 | CE: 8.2304
Iter 5 | Total: 44.3333 | LL: -36.2891 | CE: 8.0442
Iter 6 | Total: 42.1934 | LL: -34.3393 | CE: 7.8541
Iter 7 | Total: 40.4659 | LL: -32.8035 | CE: 7.6623
Iter 8 | Total: 39.0308 | LL: -31.5576 | CE: 7.4733
Iter 9 | Total: 37.8122 | LL: -30.5222 | CE: 7.2900
Iter 10 | Total: 36.7577 | LL: -29.6441 | CE: 7.1137
Iter 11 | Total: 35.8310 | LL: -28.8869 | CE: 6.9440
Iter 12 | Total: 35.0079 | LL: -28.2275 | CE: 6.7804
Iter 13 | Total: 34.2734 | LL: -27.6510 | CE: 6.6224
Iter 14 | Total: 33.6171 | LL: -27.1470 | CE: 6.4701
Iter 15 | Total: 33.0310 | LL: -26.7069 | CE: 6.3241
Iter 16 | Total: 32.5081 | LL: -26.3230 | CE: 6.1851
Iter 17 | Total: 32.0423 | LL: -25.9880 | CE: 6.0542
Iter 18 | Total: 31.6277 | LL: -25.6956 | CE: 5.9320
Iter 19 | Total: 31.2589 | LL: -25.4398 | CE: 5.8191
Iter 20 | Total: 30.9308 | LL: -25.2152 | CE: 5.7157
Iter 21 | Total: 30.6389 | LL: -25.0172 | CE: 5.6217
Iter 22 | Total: 30.3789 | LL: -24.8419 | CE: 5.5369
Iter 23 | Total: 30.1469 | LL: -24.6860 | CE: 5.4609
Iter 24 | Total: 29.9399 | LL: -24.5465 | CE: 5.3933
Iter 25 | Total: 29.7549 | LL: -24.4213 | CE: 5.3336
Iter 26 | Total: 29.5896 | LL: -24.3082 | CE: 5.2814
Iter 27 | Total: 29.4421 | LL: -24.2057 | CE: 5.2364
Iter 28 | Total: 29.3108 | LL: -24.1126 | CE: 5.1982
Iter 29 | Total: 29.1943 | LL: -24.0276 | CE: 5.1666
Iter 0 | Total: 84.1788 | LL: -75.3757 | CE: 8.8031
Iter 1 | Total: 67.0816 | LL: -58.4282 | CE: 8.6534
Iter 2 | Total: 57.4067 | LL: -49.0145 | CE: 8.3923
Iter 3 | Total: 51.7194 | LL: -43.5845 | CE: 8.1349
Iter 4 | Total: 48.0596 | LL: -40.1588 | CE: 7.9008
Iter 5 | Total: 45.4470 | LL: -37.7647 | CE: 7.6823
Iter 6 | Total: 43.4306 | LL: -35.9597 | CE: 7.4709
Iter 7 | Total: 41.7982 | LL: -34.5336 | CE: 7.2646
Iter 8 | Total: 40.4375 | LL: -33.3727 | CE: 7.0648
Iter 9 | Total: 39.2796 | LL: -32.4071 | CE: 6.8725
Iter 10 | Total: 38.2790 | LL: -31.5910 | CE: 6.6880
Iter 11 | Total: 37.4051 | LL: -30.8936 | CE: 6.5115
Iter 12 | Total: 36.6376 | LL: -30.2937 | CE: 6.3439
Iter 13 | Total: 35.9635 | LL: -29.7765 | CE: 6.1870
Iter 14 | Total: 35.3740 | LL: -29.3315 | CE: 6.0425
Iter 15 | Total: 34.8630 | LL: -28.9507 | CE: 5.9123
Iter 16 | Total: 34.4239 | LL: -28.6266 | CE: 5.7973
Iter 17 | Total: 34.0496 | LL: -28.3517 | CE: 5.6979
Iter 18 | Total: 33.7319 | LL: -28.1181 | CE: 5.6138
Iter 19 | Total: 33.4626 | LL: -27.9186 | CE: 5.5440
Iter 20 | Total: 33.2345 | LL: -27.7470 | CE: 5.4875
Iter 21 | Total: 33.0409 | LL: -27.5981 | CE: 5.4428
Iter 22 | Total: 32.8767 | LL: -27.4678 | CE: 5.4089
Iter 23 | Total: 32.7374 | LL: -27.3528 | CE: 5.3846
